DATECOLLECTED,SAMPLELOCATION,daily_flow_rate_m3
2022-08-07,AU_SouthWestern,494.8109539
2022-08-08,AU_SouthWestern,710.8040071
2022-08-09,AU_SouthWestern,696.1022758
2022-08-10,AU_SouthWestern,759.5220725
2022-08-11,AU_SouthWestern,646.5543855
2022-08-12,AU_SouthWestern,598.5363411
2022-08-13,AU_SouthWestern,561.3704662
2022-08-14,AU_SouthWestern,537.1815026
2022-08-15,AU_SouthWestern,527.3383799
2022-08-16,AU_SouthWestern,497.9877224
2022-08-17,AU_SouthWestern,495.76597
2022-08-18,AU_SouthWestern,539.3043359
2022-08-19,AU_SouthWestern,1017.863618
2022-08-20,AU_SouthWestern,926.2091001
2022-08-21,AU_SouthWestern,780.1456184
2022-08-22,AU_SouthWestern,659.7113189
2022-08-23,AU_SouthWestern,644.6198007
2022-08-24,AU_SouthWestern,660.6173237
2022-08-25,AU_SouthWestern,591.2124077
2022-08-26,AU_SouthWestern,858.0224382
2022-08-27,AU_SouthWestern,874.7162191
2022-08-28,AU_SouthWestern,718.0848609
2022-08-29,AU_SouthWestern,644.062583
2022-08-30,AU_SouthWestern,598.9215732
2022-08-31,AU_SouthWestern,570.8192116
2022-09-01,AU_SouthWestern,561.3511014
2022-09-02,AU_SouthWestern,535.5075281
2022-09-05,AU_SouthWestern,NA
2022-09-07,AU_SouthWestern,NA
2022-09-12,AU_SouthWestern,NA
2022-09-14,AU_SouthWestern,NA
2022-09-19,AU_SouthWestern,NA
2022-09-21,AU_SouthWestern,NA
2022-09-26,AU_SouthWestern,NA
2022-09-28,AU_SouthWestern,NA
2022-10-03,AU_SouthWestern,NA
2022-10-05,AU_SouthWestern,NA
2022-08-27,AU_Western,1874.658316
2022-08-28,AU_Western,1373.312049
2022-08-29,AU_Western,1194.717353
2022-08-30,AU_Western,1107.193288
2022-08-31,AU_Western,1067.113946
2022-09-01,AU_Western,1022.451564
2022-09-02,AU_Western,925.8441579
2022-09-05,AU_Western,NA
2022-09-07,AU_Western,NA
2022-09-12,AU_Western,NA
2022-09-14,AU_Western,NA
2022-09-19,AU_Western,NA
2022-09-21,AU_Western,NA
2022-09-26,AU_Western,NA
2022-09-28,AU_Western,NA
2022-10-03,AU_Western,NA
2022-10-05,AU_Western,NA
2022-01-02,CA_Christchurch,148860.0165
2022-01-03,CA_Christchurch,146523.5248
2022-01-04,CA_Christchurch,148806.8448
2022-01-05,CA_Christchurch,148663.4707
2022-01-06,CA_Christchurch,155288.4318
2022-01-07,CA_Christchurch,148405.8444
2022-01-08,CA_Christchurch,151091.9311
2022-01-09,CA_Christchurch,150813.8007
2022-01-10,CA_Christchurch,151869.2471
2022-01-11,CA_Christchurch,148969.1461
2022-01-12,CA_Christchurch,145280.0419
2022-01-13,CA_Christchurch,140203.6754
2022-01-14,CA_Christchurch,140004.8848
2022-01-15,CA_Christchurch,140608.7772
2022-01-16,CA_Christchurch,142221.8245
2022-01-17,CA_Christchurch,141926.3153
2022-01-18,CA_Christchurch,139395.4642
2022-01-19,CA_Christchurch,139829.9967
2022-01-20,CA_Christchurch,142632.1716
2022-01-21,CA_Christchurch,143032.0305
2022-01-22,CA_Christchurch,135831.5374
2022-01-23,CA_Christchurch,139142.3814
2022-01-24,CA_Christchurch,141108.3354
2022-01-25,CA_Christchurch,141154.9766
2022-01-26,CA_Christchurch,135552.6224
2022-01-27,CA_Christchurch,148638.1269
2022-01-28,CA_Christchurch,138416.6956
2022-01-29,CA_Christchurch,132315.6111
2022-01-30,CA_Christchurch,135303.0365
2022-01-31,CA_Christchurch,140569.8898
2022-02-01,CA_Christchurch,138679.8416
2022-02-02,CA_Christchurch,138240.2953
2022-02-03,CA_Christchurch,140375.4536
2022-02-04,CA_Christchurch,135659.2664
2022-02-05,CA_Christchurch,148968.2724
2022-02-06,CA_Christchurch,215492.1846
2022-02-07,CA_Christchurch,190435.5864
2022-02-08,CA_Christchurch,140738.9717
2022-02-09,CA_Christchurch,129699.2616
2022-02-10,CA_Christchurch,163301.5187
2022-02-11,CA_Christchurch,284159.5651
2022-02-12,CA_Christchurch,197700.1278
2022-02-13,CA_Christchurch,256922.095
2022-02-14,CA_Christchurch,439918.9989
2022-02-15,CA_Christchurch,270235.5231
2022-02-16,CA_Christchurch,220784.6159
2022-02-17,CA_Christchurch,205596.3445
2022-02-18,CA_Christchurch,194891.2431
2022-02-19,CA_Christchurch,193166.3385
2022-02-20,CA_Christchurch,190336.2014
2022-02-21,CA_Christchurch,178601.5337
2022-02-22,CA_Christchurch,165093.6234
2022-02-23,CA_Christchurch,168483.1055
2022-02-24,CA_Christchurch,149354.9191
2022-02-25,CA_Christchurch,151686.3984
2022-02-26,CA_Christchurch,151203.1078
2022-02-27,CA_Christchurch,147116.9121
2022-02-28,CA_Christchurch,134883.2599
2022-03-01,CA_Christchurch,150387.4837
2022-03-02,CA_Christchurch,138949.2507
2022-03-03,CA_Christchurch,139417.0841
2022-03-04,CA_Christchurch,136504.9926
2022-03-05,CA_Christchurch,136063.1351
2022-03-06,CA_Christchurch,141690.4532
2022-03-07,CA_Christchurch,144021.4472
2022-03-08,CA_Christchurch,133594.5255
2022-03-09,CA_Christchurch,135615.0938
2022-03-10,CA_Christchurch,139866.4536
2022-03-11,CA_Christchurch,131293.6757
2022-03-12,CA_Christchurch,136799.9281
2022-03-13,CA_Christchurch,137245.2877
2022-03-14,CA_Christchurch,127246.0811
2022-03-15,CA_Christchurch,128222.1766
2022-03-16,CA_Christchurch,128532.2308
2022-03-17,CA_Christchurch,131076.0049
2022-03-18,CA_Christchurch,132754.5024
2022-03-19,CA_Christchurch,131455.5947
2022-03-20,CA_Christchurch,133859.2289
2022-03-21,CA_Christchurch,133836.7506
2022-03-22,CA_Christchurch,145180.9454
2022-03-23,CA_Christchurch,199241.8868
2022-03-24,CA_Christchurch,156315.3444
2022-03-25,CA_Christchurch,161653.6286
2022-03-26,CA_Christchurch,150883.4239
2022-03-27,CA_Christchurch,148337.3687
2022-03-28,CA_Christchurch,138349.3392
2022-03-29,CA_Christchurch,134784.5068
2022-03-30,CA_Christchurch,138351.6945
2022-03-31,CA_Christchurch,141485.3133
2022-04-01,CA_Christchurch,153120.677
2022-04-02,CA_Christchurch,143333.3044
2022-04-03,CA_Christchurch,131959.8031
2022-04-03,CA_Christchurch,146104.3192
2022-04-04,CA_Christchurch,129654.0121
2022-04-05,CA_Christchurch,137796.1181
2022-04-06,CA_Christchurch,153897.4199
2022-04-07,CA_Christchurch,168112.2924
2022-04-08,CA_Christchurch,163188.6114
2022-04-09,CA_Christchurch,152598.6497
2022-04-10,CA_Christchurch,141472.9401
2022-04-11,CA_Christchurch,140582.8247
2022-04-12,CA_Christchurch,142211.8351
2022-04-13,CA_Christchurch,144704.25
2022-04-14,CA_Christchurch,144541.865
2022-04-15,CA_Christchurch,133497.0298
2022-04-16,CA_Christchurch,122882.0278
2022-04-17,CA_Christchurch,125030.9296
2022-04-18,CA_Christchurch,130335.1934
2022-04-19,CA_Christchurch,131144.5349
2022-04-20,CA_Christchurch,138497.2357
2022-04-21,CA_Christchurch,138372.7156
2022-04-22,CA_Christchurch,129562.146
2022-04-23,CA_Christchurch,136574.6716
2022-04-24,CA_Christchurch,129955.8598
2022-04-25,CA_Christchurch,132509.029
2022-04-26,CA_Christchurch,132168.1891
2022-04-27,CA_Christchurch,133363.2077
2022-04-28,CA_Christchurch,140413.3148
2022-04-29,CA_Christchurch,149628.1439
2022-04-30,CA_Christchurch,146681.2733
2022-05-01,CA_Christchurch,141559.04810000001
2022-05-02,CA_Christchurch,140640.3804
2022-05-03,CA_Christchurch,149133.364
2022-05-04,CA_Christchurch,145728.678
2022-05-05,CA_Christchurch,146061.7962
2022-05-06,CA_Christchurch,150740.0753
2022-05-07,CA_Christchurch,145876.8062
2022-05-08,CA_Christchurch,139418.1564
2022-05-09,CA_Christchurch,149942.6187
2022-05-10,CA_Christchurch,164054.8516
2022-05-11,CA_Christchurch,157796.8838
2022-05-12,CA_Christchurch,151993.729
2022-05-13,CA_Christchurch,151566.8539
2022-05-14,CA_Christchurch,148387.3787
2022-05-15,CA_Christchurch,140645.3779
2022-05-16,CA_Christchurch,163310.7335
2022-05-17,CA_Christchurch,156448.5933
2022-05-18,CA_Christchurch,155105.6103
2022-05-19,CA_Christchurch,154425.5803
2022-05-20,CA_Christchurch,157037.4154
2022-05-21,CA_Christchurch,148327.3399
2022-05-22,CA_Christchurch,142458.3536
2022-05-23,CA_Christchurch,145221.0137
2022-05-24,CA_Christchurch,152021.5265
2022-05-25,CA_Christchurch,153541.1219
2022-05-26,CA_Christchurch,156796.5211
2022-05-27,CA_Christchurch,173635.5394
2022-05-28,CA_Christchurch,180142.5773
2022-05-29,CA_Christchurch,166730.0306
2022-05-30,CA_Christchurch,163694.6908
2022-05-31,CA_Christchurch,158433.7789
2022-06-01,CA_Christchurch,156904.2239
2022-06-02,CA_Christchurch,155624.1923
2022-06-03,CA_Christchurch,171217.8193
2022-06-04,CA_Christchurch,147248.0089
2022-06-05,CA_Christchurch,131983.9116
2022-06-06,CA_Christchurch,138659.7875
2022-06-07,CA_Christchurch,138122.352
2022-06-08,CA_Christchurch,147135.4657
2022-06-09,CA_Christchurch,151813.7211
2022-06-10,CA_Christchurch,152910.3833
2022-06-11,CA_Christchurch,149645.3085
2022-06-12,CA_Christchurch,141089.5797
2022-06-13,CA_Christchurch,158195.6734
2022-06-14,CA_Christchurch,152913.4507
2022-06-15,CA_Christchurch,153138.9676
2022-06-16,CA_Christchurch,149309.2092
2022-06-17,CA_Christchurch,148118.4394
2022-06-18,CA_Christchurch,146442.3291
2022-06-19,CA_Christchurch,143271.9123
2022-06-20,CA_Christchurch,158412.3181
2022-06-21,CA_Christchurch,160358.6521
2022-06-22,CA_Christchurch,153694.4735
2022-06-23,CA_Christchurch,151799.6637
2022-06-24,CA_Christchurch,143004.2383
2022-06-25,CA_Christchurch,134104.1251
2022-06-26,CA_Christchurch,134501.4118
2022-06-27,CA_Christchurch,134553.0668
2022-06-28,CA_Christchurch,82248.33214
2022-06-29,CA_Christchurch,126119.7657
2022-06-30,CA_Christchurch,168093.1863
2022-07-01,CA_Christchurch,169318.4008
2022-07-02,CA_Christchurch,156250.6678
2022-07-03,CA_Christchurch,152320.2121
2022-07-04,CA_Christchurch,152706.3948
2022-07-05,CA_Christchurch,155599.1655
2022-07-06,CA_Christchurch,159064.4719
2022-07-07,CA_Christchurch,145572.3271
2022-07-08,CA_Christchurch,242347.8248
2022-07-09,CA_Christchurch,236397.3338
2022-07-10,CA_Christchurch,211789.9667
2022-07-11,CA_Christchurch,174165.7096
2022-07-12,CA_Christchurch,511332.9485
2022-07-13,CA_Christchurch,474330.5428
2022-07-14,CA_Christchurch,302041.6055
