Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Reefton Ews,21/08/2021,0,-,0.7,0,24,D
Warkworth Ews,21/08/2021,1.4,-,5.8,0,24,D
Auckland Aero,22/08/2021,0,-,3,0,24,D
"Auckland, Henderson North",22/08/2021,1.7,-,1.6,0,24,D
"Auckland, Mangere 2 Ews",22/08/2021,0,-,3.2,0,24,D
"Auckland, Motat Ews",22/08/2021,0.4,-,2.6,0,24,D
"Auckland, North Shore Albany Ews",22/08/2021,2.4,-,-,-,24,D
"Auckland, Whenuapai Aws",22/08/2021,2.3,-,1,0,24,D
Leigh 2 Ews,22/08/2021,7.2,-,3.7,0,24,D
Pukekohe Ews,22/08/2021,0,-,2.5,0,24,D
Reefton Ews,22/08/2021,0,-,1.4,0,24,D
Warkworth Ews,22/08/2021,10.6,-,0,2.7,24,D
Auckland Aero,23/08/2021,0,-,4.7,0,24,D
"Auckland, Henderson North",23/08/2021,0,-,3.1,0,24,D
"Auckland, Mangere 2 Ews",23/08/2021,0,-,4.8,0,24,D
"Auckland, Motat Ews",23/08/2021,0,-,4.1,0,24,D
"Auckland, North Shore Albany Ews",23/08/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",23/08/2021,0,-,2.4,0,24,D
Leigh 2 Ews,23/08/2021,0,-,5.7,0,24,D
Pukekohe Ews,23/08/2021,0,-,3.8,0,24,D
Reefton Ews,23/08/2021,8.6,-,0,6.5,24,D
Warkworth Ews,23/08/2021,0,-,2.1,0,24,D
Auckland Aero,24/08/2021,0,-,6.4,0,24,D
"Auckland, Henderson North",24/08/2021,0,-,4.5,0,24,D
"Auckland, Mangere 2 Ews",24/08/2021,0,-,6.3,0,24,D
"Auckland, Motat Ews",24/08/2021,0,-,5.5,0,24,D
"Auckland, North Shore Albany Ews",24/08/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",24/08/2021,0,-,3.7,0,24,D
Leigh 2 Ews,24/08/2021,0,-,7.8,0,24,D
Pukekohe Ews,24/08/2021,0,-,5.1,0,24,D
Reefton Ews,24/08/2021,1.6,-,0,0.9,24,D
Warkworth Ews,24/08/2021,0,-,4.1,0,24,D
Auckland Aero,25/08/2021,0,-,8.1,0,24,D
"Auckland, Henderson North",25/08/2021,0,-,5.9,0,24,D
"Auckland, Mangere 2 Ews",25/08/2021,0,-,7.9,0,24,D
"Auckland, Motat Ews",25/08/2021,0,-,6.9,0,24,D
"Auckland, North Shore Albany Ews",25/08/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",25/08/2021,0,-,5.1,0,24,D
Leigh 2 Ews,25/08/2021,0,-,9.9,0,24,D
Pukekohe Ews,25/08/2021,0,-,6.3,0,24,D
Reefton Ews,25/08/2021,0,-,0.7,0,24,D
Warkworth Ews,25/08/2021,0,-,6.2,0,24,D
Auckland Aero,26/08/2021,0,-,9.7,0,24,D
"Auckland, Henderson North",26/08/2021,0,-,7.3,0,24,D
"Auckland, Mangere 2 Ews",26/08/2021,0,-,9.4,0,24,D
"Auckland, Motat Ews",26/08/2021,0,-,8.3,0,24,D
"Auckland, North Shore Albany Ews",26/08/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",26/08/2021,0,-,6.5,0,24,D
Leigh 2 Ews,26/08/2021,0,-,12,0,24,D
Pukekohe Ews,26/08/2021,0,-,7.6,0,24,D
Reefton Ews,26/08/2021,1,-,0.4,0,24,D
Warkworth Ews,26/08/2021,0,-,8.3,0,24,D
Auckland Aero,27/08/2021,0,-,11.4,0,24,D
"Auckland, Henderson North",27/08/2021,0,-,8.7,0,24,D
"Auckland, Mangere 2 Ews",27/08/2021,0,-,10.9,0,24,D
"Auckland, Motat Ews",27/08/2021,0,-,9.7,0,24,D
"Auckland, North Shore Albany Ews",27/08/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",27/08/2021,0,-,7.8,0,24,D
Leigh 2 Ews,27/08/2021,0.4,-,13.6,0,24,D
Pukekohe Ews,27/08/2021,0,-,8.9,0,24,D
Reefton Ews,27/08/2021,26.2,-,0,25.1,24,D
Warkworth Ews,27/08/2021,0,-,10.3,0,24,D
Auckland Aero,28/08/2021,9.4,-,3.7,0,24,D
"Auckland, Henderson North",28/08/2021,11.6,-,0,1.5,24,D
"Auckland, Mangere 2 Ews",28/08/2021,13.8,-,0,1.3,24,D
"Auckland, Motat Ews",28/08/2021,11,-,0.1,0,24,D
"Auckland, North Shore Albany Ews",28/08/2021,22.8,-,-,-,24,D
"Auckland, Whenuapai Aws",28/08/2021,17,-,0,7.8,24,D
Leigh 2 Ews,28/08/2021,15,-,0.7,0,24,D
Pukekohe Ews,28/08/2021,17.2,-,0,7.1,24,D
Reefton Ews,28/08/2021,9.4,-,0,8.7,24,D
Warkworth Ews,28/08/2021,11.8,-,0.6,0,24,D
Auckland Aero,29/08/2021,3.4,-,2,0,24,D
"Auckland, Henderson North",29/08/2021,7.2,-,0,5.8,24,D
"Auckland, Mangere 2 Ews",29/08/2021,3.4,-,0,1.9,24,D
"Auckland, Motat Ews",29/08/2021,9.8,-,0,8.2,24,D
"Auckland, North Shore Albany Ews",29/08/2021,6,-,-,-,24,D
"Auckland, Whenuapai Aws",29/08/2021,8.8,-,0,7.4,24,D
Leigh 2 Ews,29/08/2021,19.2,-,0,16.4,24,D
Pukekohe Ews,29/08/2021,4,-,0,2.7,24,D
Reefton Ews,29/08/2021,0.6,-,0.1,0,24,D
Warkworth Ews,29/08/2021,4,-,0,1.3,24,D
Auckland Aero,30/08/2021,0.4,-,3.3,0,24,D
"Auckland, Henderson North",30/08/2021,0.7,-,0.7,0,24,D
"Auckland, Mangere 2 Ews",30/08/2021,0,-,1.5,0,24,D
"Auckland, Motat Ews",30/08/2021,0.6,-,0.8,0,24,D
"Auckland, North Shore Albany Ews",30/08/2021,1.6,-,-,-,24,D
"Auckland, Whenuapai Aws",30/08/2021,0.7,-,0.7,0,24,D
Leigh 2 Ews,30/08/2021,5.8,-,0,3.7,24,D
Pukekohe Ews,30/08/2021,0,-,1.3,0,24,D
Reefton Ews,30/08/2021,0.2,-,0.6,0,24,D
Warkworth Ews,30/08/2021,7.4,-,0,5.3,24,D
Auckland Aero,31/08/2021,17.2,-,0,12.2,24,D
"Auckland, Henderson North",31/08/2021,109.3,-,0,107.2,24,D
"Auckland, Mangere 2 Ews",31/08/2021,27.6,-,0,24.5,24,D
"Auckland, Motat Ews",31/08/2021,48,-,0,45.8,24,D
"Auckland, North Shore Albany Ews",31/08/2021,89.4,-,0,0,24,D
"Auckland, Whenuapai Aws",31/08/2021,103.1,-,0,101.1,24,D
Leigh 2 Ews,31/08/2021,4.6,-,0,2.5,24,D
Pukekohe Ews,31/08/2021,8,-,0,5.5,24,D
Reefton Ews,31/08/2021,0,-,1.3,0,24,D
Warkworth Ews,31/08/2021,22.2,-,0,20.1,24,D
Auckland Aero,1/9/2021,0.8,-,0.9,0,24,D
"Auckland, Henderson North",1/9/2021,0.2,-,1.2,0,24,D
"Auckland, Mangere 2 Ews",1/9/2021,0,-,1.5,0,24,D
"Auckland, Motat Ews",1/9/2021,0,-,1.4,0,24,D
"Auckland, North Shore Albany Ews",1/9/2021,0.6,-,0.8,0,24,D
"Auckland, Whenuapai Aws",1/9/2021,0.4,-,1,0,24,D
Leigh 2 Ews,1/9/2021,5,-,0,2.9,24,D
Pukekohe Ews,1/9/2021,0,-,1.3,0,24,D
Reefton Ews,1/9/2021,0,-,2.1,0,24,D
Warkworth Ews,1/9/2021,2,-,0.1,0,24,D
Auckland Aero,2/9/2021,0,-,3.5,0,24,D
"Auckland, Henderson North",2/9/2021,0,-,3.4,0,24,D
"Auckland, Mangere 2 Ews",2/9/2021,0,-,3.9,0,24,D
"Auckland, Motat Ews",2/9/2021,0,-,3.6,0,24,D
"Auckland, North Shore Albany Ews",2/9/2021,0,-,2.7,0,24,D
"Auckland, Whenuapai Aws",2/9/2021,0.2,-,2.7,0,24,D
Leigh 2 Ews,2/9/2021,1.6,-,1.1,0,24,D
Pukekohe Ews,2/9/2021,0,-,3,0,24,D
Reefton Ews,2/9/2021,0,-,3.4,0,24,D
Warkworth Ews,2/9/2021,3,-,0,0.3,24,D
