Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Ohoka Cws,11/8/2021,0,-,0.9,0,24,D
Rangiora Ews,11/8/2021,0,-,0.9,0,24,D
Waipara West Ews,11/8/2021,0,-,1.9,0,24,D
Wakanui 2 Cws,11/8/2021,0,-,2.4,0,24,D
Winchmore 2 Ews,11/8/2021,0,-,2.4,0,24,D
Akaroa Ews,12/8/2021,0,-,1.6,0,24,D
Ashburton Aero Aws,12/8/2021,0,-,3.6,0,24,D
Balmoral East Cws,12/8/2021,0,-,4,0,24,D
Bromley Ews,12/8/2021,0,-,2.2,0,24,D
Chertsey Cws,12/8/2021,0,-,3.5,0,24,D
Cheviot Ews,12/8/2021,0,-,2,0,24,D
Christchurch Aero,12/8/2021,0,-,1.8,0,24,D
"Christchurch, Kyle St Ews",12/8/2021,0,-,1.9,0,24,D
Culverden Aws,12/8/2021,0,-,1.7,0,24,D
Cass Ews,12/8/2021,0,-,-,-,24,D
Diamond Harbour Ews,12/8/2021,0,-,2.4,0,24,D
Hanmer Forest Ews,12/8/2021,6.8,-,0,6,24,D
Le Bons Bay Aws,12/8/2021,0,-,10.6,0,24,D
"Lincoln, Broadfield Ews",12/8/2021,0,-,2.6,0,24,D
"Lismore, Racemans House Cws",12/8/2021,0,-,3.6,0,24,D
Medbury Cws,12/8/2021,0,-,3.3,0,24,D
Methven Cws,12/8/2021,0,-,7.9,0,24,D
Ohoka Cws,12/8/2021,0.2,-,1.6,0,24,D
Rangiora Ews,12/8/2021,0,-,1.8,0,24,D
Waipara West Ews,12/8/2021,0,-,3.6,0,24,D
Wakanui 2 Cws,12/8/2021,0,-,3.6,0,24,D
Winchmore 2 Ews,12/8/2021,0,-,3.5,0,24,D
Akaroa Ews,13/08/2021,5.4,-,0,2.6,24,D
Ashburton Aero Aws,13/08/2021,3.8,-,1,0,24,D
Balmoral East Cws,13/08/2021,0.4,-,5.2,0,24,D
Bromley Ews,13/08/2021,0,-,3.3,0,24,D
Chertsey Cws,13/08/2021,7,-,0,2.3,24,D
Cheviot Ews,13/08/2021,0,-,2.9,0,24,D
Christchurch Aero,13/08/2021,0.4,-,2.4,0,24,D
"Christchurch, Kyle St Ews",13/08/2021,0.2,-,2.7,0,24,D
Culverden Aws,13/08/2021,0.4,-,3,0,24,D
Cass Ews,13/08/2021,16.8,-,-,-,24,D
Diamond Harbour Ews,13/08/2021,3.6,-,0.1,0,24,D
Hanmer Forest Ews,13/08/2021,0.4,-,0.4,0,24,D
Le Bons Bay Aws,13/08/2021,2.2,-,9.6,0,24,D
"Lincoln, Broadfield Ews",13/08/2021,1.6,-,2.3,0,24,D
"Lismore, Racemans House Cws",13/08/2021,4.8,-,0,0,24,D
