Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
"Wellington, Greta Point Cws",6/8/2021,1.8,-,4.5,0,24,D
"Wellington, Kelburn 2",6/8/2021,3.6,-,1.5,0,24,D
"Wellington, Kelburn Aws",6/8/2021,4,-,0.1,0,24,D
Baring Head,7/8/2021,0.4,-,5.6,0,24,D
Blenheim Aero Aws,7/8/2021,0,-,1.2,0,24,D
Blenheim Research Ews,7/8/2021,0.2,-,1,0,24,D
Brothers Island Aws,7/8/2021,1.4,-,0,0.4,24,D
Cape Campbell Aws,7/8/2021,6,-,0,4.8,24,D
Levin Aws,7/8/2021,10,-,0,9,24,D
Levin Ews,7/8/2021,7,-,0,6,24,D
Mana Island Aws,7/8/2021,2.6,-,0,1.6,24,D
Martinborough Ews,7/8/2021,0.4,-,0.8,0,24,D
Masterton Aero Aws,7/8/2021,4,-,0,3,24,D
Masterton Ews,7/8/2021,1.8,-,0,0.9,24,D
"Masterton, Te Ore Ore Cws",7/8/2021,1.2,-,0,0.3,24,D
"Masterton, Te Ore Ore Srig",7/8/2021,1.8,-,0,0.9,24,D
Maungaraki 3,7/8/2021,1.4,-,0,0.3,24,D
Ngawi Aws,7/8/2021,0.2,-,1,0,24,D
Paraparaumu Aero,7/8/2021,1.3,1,0,0.1,24,D
Paraparaumu Aero Aws,7/8/2021,2.2,-,0,1,24,D
Paraparaumu Ews,7/8/2021,1.6,-,0,0.4,24,D
"Porirua, Elsdon Park Aws",7/8/2021,4.4,-,0,3.4,24,D
Stephens Island Aws,7/8/2021,10.4,-,-,-,24,D
"Upper Hutt, Trentham Ews",7/8/2021,3.8,-,0,2.8,24,D
Wellington Aero,7/8/2021,0.5,-,6.1,0,24,D
"Wellington, Greta Point Cws",7/8/2021,0.8,-,5,0,24,D
"Wellington, Kelburn 2",7/8/2021,1.2,-,1.6,0,24,D
"Wellington, Kelburn Aws",7/8/2021,1.2,-,0.2,0,24,D
Baring Head,8/8/2021,0,-,6.9,0,24,D
Blenheim Aero Aws,8/8/2021,0.4,-,2,0,24,D
Blenheim Research Ews,8/8/2021,0.2,-,2,0,24,D
Brothers Island Aws,8/8/2021,0.4,-,0.6,0,24,D
Cape Campbell Aws,8/8/2021,0,-,1.2,0,24,D
Levin Aws,8/8/2021,0.8,-,0.2,0,24,D
Levin Ews,8/8/2021,1.2,-,0,0.2,24,D
Mana Island Aws,8/8/2021,0.6,-,0.4,0,24,D
Martinborough Ews,8/8/2021,0.4,-,1.6,0,24,D
Masterton Aero Aws,8/8/2021,0.6,-,0.4,0,24,D
Masterton Ews,8/8/2021,0.4,-,0.5,0,24,D
"Masterton, Te Ore Ore Cws",8/8/2021,0.4,-,0.5,0,24,D
"Masterton, Te Ore Ore Srig",8/8/2021,0.4,-,0.5,0,24,D
Maungaraki 3,8/8/2021,0.4,-,0.7,0,24,D
Ngawi Aws,8/8/2021,0,-,2.2,0,24,D
Paraparaumu Aero,8/8/2021,3.6,2,0,2.4,24,D
Paraparaumu Aero Aws,8/8/2021,3.2,-,0,2,24,D
Paraparaumu Ews,8/8/2021,3,-,0,1.8,24,D
"Porirua, Elsdon Park Aws",8/8/2021,0.4,-,0.6,0,24,D
Stephens Island Aws,8/8/2021,0.2,-,-,-,24,D
"Upper Hutt, Trentham Ews",8/8/2021,0.2,-,0.8,0,24,D
Wellington Aero,8/8/2021,0,-,7.4,0,24,D
"Wellington, Greta Point Cws",8/8/2021,0,-,6.3,0,24,D
"Wellington, Kelburn 2",8/8/2021,0,-,2.9,0,24,D
"Wellington, Kelburn Aws",8/8/2021,0,-,1.5,0,24,D
Baring Head,9/8/2021,35,-,0,26.9,24,D
Blenheim Aero Aws,9/8/2021,15,-,0,11.8,24,D
Blenheim Research Ews,9/8/2021,16.4,-,0,13.2,24,D
Brothers Island Aws,9/8/2021,26.2,-,0,24.5,24,D
