SampleLocation,sars_gcl,Date,Result,copies_per_day_per_person,avg_rain,avg_rain.lag1,avg_rain.lag2,avg_rain.lag3,avg_rain.lag4,avg_rain.lag5,avg_rain.lag6,avg_rain.lag7,population,sars_per_person,SAMPLELOCATION,daily_flow_rate_m3
AU_Rosedale,32391.98,2022-04-11,Detected,7715207,0,0,0.05,0,0.75,2.55,0.05,0.05,31051,1.0431863708093136,AU_Rosedale,50001
AU_Rosedale,28875.77,2022-04-12,Detected,6877707,0.2,0,0,0.05,0,0.75,2.55,0.05,31051,0.9299465395639432,AU_Rosedale,49155
AU_Rosedale,46097.96,2022-04-20,Detected,10979734,10.75,12.15,1.45,0.05,0,0,0,4.2,31051,1.4845885800779364,AU_Rosedale,58436
AU_Rosedale,20650.51,2022-05-01,Detected,4918593,1.25,0,0.1,0,0,0,7.65,1.65,31051,0.6650513671057292,AU_Rosedale,49676
AU_Rosedale,28877.6,2022-05-04,Detected,6878143,0,0,1.4000000000000001,1.25,0,0.1,0,0,31051,0.9300054748639335,AU_Rosedale,48942
AU_Rosedale,88021.92,2022-05-09,Detected,20965295,0,0.05,0.1,0,0,0,0,1.4000000000000001,31051,2.8347531480467616,AU_Rosedale,49518
AU_Rosedale,106672.85,2022-05-10,Detected,25407623,4.15,0,0.05,0.1,0,0,0,0,31051,3.435407877363048,AU_Rosedale,51629
AU_Rosedale,45736.16,2022-05-15,Detected,10893560,0.1,0,0,0,0,4.15,0,0.05,31051,1.4729367814241088,AU_Rosedale,49125
AU_Rosedale,34623.66,2022-05-18,Detected,8246755,1.35,1.8,0.45,0.1,0,0,0,0,31051,1.1150578081221219,AU_Rosedale,49653
AU_Rosedale,85377.4,2022-05-22,Detected,20335416,1.6,9.55,11.5,1.2000000000000002,1.35,1.8,0.45,0.1,31051,2.749586164696789,AU_Rosedale,54164
AU_Rosedale,69301.3,2022-05-24,Detected,16506367,0,2.2,1.6,9.55,11.5,1.2000000000000002,1.35,1.8,31051,2.231854046568549,AU_Rosedale,52415
AU_Rosedale,50345.59,2022-05-29,Detected,11991446,1.4,0,1.5,1.15,0.35,0,2.2,1.6,31051,1.6213838523719042,AU_Rosedale,51701
AU_Rosedale,23889.68,2022-05-31,Detected,5690107,8.3,15.85,1.4,0,1.5,1.15,0.35,0,31051,0.7693691024443657,AU_Rosedale,75820
AU_Rosedale,51503.3,2022-06-07,Detected,12267192,0.65,20.200000000000003,0.5,7.199999999999999,13.1,0.2,11.25,8.3,31051,1.6586679978100545,AU_Rosedale,108062
AU_Rosedale,39224.96,2022-06-12,Detected,9342705,18.05,7.1,4,0.7,4.45,0.65,20.200000000000003,0.5,31051,1.2632430517535667,AU_Rosedale,86190
AU_Rosedale,39279.3,2022-06-14,Detected,9355648,10.8,14.4,18.05,7.1,4,0.7,4.45,0.65,31051,1.2649930759073782,AU_Rosedale,101913
AU_Rosedale,87197.79,2022-06-20,Detected,20769001,0,4.75,0.5,0.7,1.75,6.4,10.8,14.4,31051,2.808211973849473,AU_Rosedale,62735
AU_Rosedale,33023.39,2022-06-22,Detected,7865598,0,0,0,4.75,0.5,0.7,1.75,6.4,31051,1.0635209816108981,AU_Rosedale,55557
AU_Rosedale,80086.33,2022-06-27,Detected,19075175,0,1.3,23.65,0,0,0,0,0,31051,2.5791868216804614,AU_Rosedale,61842
AU_Rosedale,46027.66,2022-06-28,Detected,10962990,0,0,1.3,23.65,0,0,0,0,31051,1.4823245628160124,AU_Rosedale,58380
AU_Rosedale,316472.08,2022-07-04,Detected,75378161,0.1,0.15,1.7000000000000002,0.30000000000000004,10.05,2,0,0,31051,10.192009275063606,AU_Rosedale,56728
AU_Rosedale,273216.09,2022-07-05,Detected,65075335,0.15000000000000002,0.1,0.15,1.7000000000000002,0.30000000000000004,10.05,2,0,31051,8.798946571769026,AU_Rosedale,54654
AU_Rosedale,132413.1,2022-07-11,Detected,31538504,0,0,13.15,29,0.05,34.55,0.15000000000000002,0.1,31051,4.264374738333709,AU_Rosedale,68977
AU_Rosedale,36035.67,2022-07-13,Detected,8583071,4.3,64.05000000000001,0,0,13.15,29,0.05,34.55,31051,1.1605317059031914,AU_Rosedale,164322
AU_Rosedale,41054.52,2022-07-18,Detected,9778474,0.05,1.85,0.15,15.85,5.800000000000001,4.3,64.05000000000001,0,31051,1.3221641815078418,AU_Rosedale,66448
AU_Rosedale,32886.12,2022-07-20,Detected,7832903,14.649999999999999,0.8,0.05,1.85,0.15,15.85,5.800000000000001,4.3,31051,1.0591001900099837,AU_Rosedale,82155
AU_Rosedale,99574.51,2022-07-25,Detected,23716921,18.85,0.75,0,2.8499999999999996,12.4,14.649999999999999,0.8,0.05,31051,3.206805255869376,AU_Rosedale,83135
AU_Rosedale,50594.46,2022-07-27,Detected,12050723,13.5,30.6,18.85,0.75,0,2.8499999999999996,12.4,14.649999999999999,31051,1.6293987311197706,AU_Rosedale,140541
AU_Rosedale,94321.48,2022-08-01,Detected,22465740,1,5.25,0,3.2,7.2,13.5,30.6,18.85,31051,3.03763099417088,AU_Rosedale,73328
AU_Rosedale,87641.52,2022-08-03,Detected,20874690,0.05,0.30000000000000004,1,5.25,0,3.2,7.2,13.5,31051,2.8225023348684424,AU_Rosedale,61795
AU_Rosedale,25625.79,2022-08-08,Detected,6103618,36,3.25,0,0.15,0.1,0.05,0.30000000000000004,1,31051,0.8252806672892983,AU_Rosedale,127251
AU_Rosedale,32389.63,2022-08-10,Detected,7714648,0.65,35.05,36,3.25,0,0.15,0.1,0.05,31051,1.0431106888667032,AU_Rosedale,107194
AU_Rosedale,76129.56,2022-08-15,Detected,18132741,0,0.6499999999999999,0.8,0,0,0.65,35.05,36,31051,2.451758719525941,AU_Rosedale,60657
AU_Rosedale,27667.39,2022-08-16,Detected,6589892,0.75,0,0.6499999999999999,0.8,0,0,0.65,35.05,31051,0.8910305626227819,AU_Rosedale,58197
AU_Rosedale,27262.18,2022-08-22,Detected,6493378,0.5,0,5.3,25.549999999999997,18.75,1.4,0.75,0,31051,0.8779807413609868,AU_Rosedale,71919
AU_Rosedale,36741.74,2022-08-24,Detected,8751245,0.6,8.7,0.5,0,5.3,25.549999999999997,18.75,1.4,31051,1.1832707481240539,AU_Rosedale,69911
AU_Rosedale,40264.98,2022-08-29,Detected,9590420,0,0,1.75,22.85,0.30000000000000004,0.6,8.7,0.5,31051,1.296736981095617,AU_Rosedale,64418
AU_Rosedale,45506.35,2022-08-30,Detected,10838823,0.05,0,0,1.75,22.85,0.30000000000000004,0.6,8.7,31051,1.4655357315384367,AU_Rosedale,59969
AU_Rosedale,61110,2022-09-05,Detected,14555342,3.2,3.45,0,0,0,0,0.05,0,31051,1.9680525586937618,AU_Rosedale,55850
AU_Rosedale,16225,2022-09-07,Detected,3864513,0,42.5,3.2,3.45,0,0,0,0,31051,0.5225274548323725,AU_Rosedale,65537
AU_Rosedale,35374,2022-09-12,Detected,8425473,21.6,0.05,0,0.05,0,0,42.5,3.2,31051,1.1392225693214388,AU_Rosedale,86347
AU_Rosedale,47268.87,2022-09-14,Detected,11258625,4.5,2.6500000000000004,21.6,0.05,0,0.05,0,0,31051,1.5222978325979841,AU_Rosedale,71519
AU_Rosedale,18846.77,2022-09-19,Detected,4488973,0.05,0,0.2,0.25,0.1,4.5,2.6500000000000004,21.6,31051,0.6069617725677112,AU_Rosedale,57182
AU_Rosedale,18862.05,2022-09-21,Detected,4492613,6.449999999999999,3.25,0.05,0,0.2,0.25,0.1,4.5,31051,0.6074538662200895,AU_Rosedale,56303
AU_Rosedale,28404.52,2022-09-28,Detected,6765464,0,0,0,0.1,2.6500000000000004,8.1,0.05,6.449999999999999,31051,0.914769894689382,AU_Rosedale,52808
AU_Rosedale,9740.68,2022-10-03,Detected,2320061,3.3,22.3,19.95,3.15,1.8,0,0,0,31051,0.3136993977649673,AU_Rosedale,98582
AU_Rosedale,34281.62,2022-10-05,Detected,8165287,1,1.2,3.3,22.3,19.95,3.15,1.8,0,31051,1.104042381887862,AU_Rosedale,64363
AU_Rosedale,14463.53,2022-10-10,Detected,3444962,0,0,0,0.55,7.75,1,1.2,3.3,31051,0.4657991691088854,AU_Rosedale,54609
AU_Rosedale,23924.46,2022-10-12,Detected,5698391,0,0,0,0,0,0.55,7.75,1,31051,0.7704891951950017,AU_Rosedale,53267
AU_Rosedale,54773.02,2022-10-16,Detected,13045983,0,0,1.4,0,0,0,0,0,31051,1.7639695984026278,NA,NA
AU_Rosedale,42476.58,2022-10-19,Detected,10117184,1.1,6.2,0,0,0,1.4,0,0,31051,1.3679617403626292,NA,NA
AU_Rosedale,24015.6,2022-10-26,Detected,5720099,0,0,0.05,0,5.6000000000000005,1.9500000000000002,1.25,1.1,31051,0.7734243663650123,NA,NA
AU_Rosedale,2369.22,2022-10-30,Detected,564307,41.05,0.15,0,0.15,0,0,0.05,0,31051,0.0763009242858523,NA,NA
